hour,price,hour,value,gasUsed
2023-03-10 05:00:00.000 UTC,1423.94,2023-03-10 05:00:00.000 UTC,4642.971180399664,1.531304788e+09
2023-09-10 09:00:00.000 UTC,1626.63,2023-09-10 09:00:00.000 UTC,3833.0733251898023,1.353563004e+09
2023-08-24 20:00:00.000 UTC,1654.11,2023-08-24 20:00:00.000 UTC,4775.95040233684,1.761801819e+09
2023-07-20 01:00:00.000 UTC,1896.48,2023-07-20 01:00:00.000 UTC,3224.9572073134195,1.638153153e+09
2023-03-07 06:00:00.000 UTC,1574.49,2023-03-07 06:00:00.000 UTC,2934.0533989857418,1.478036814e+09
2023-08-22 03:00:00.000 UTC,1667.15,2023-08-22 03:00:00.000 UTC,2180.5362896849924,1.558487393e+09
2023-01-06 21:00:00.000 UTC,1265.56,2023-01-06 21:00:00.000 UTC,4406.12920563123,1.797057884e+09
2023-02-11 20:00:00.000 UTC,1521.9,2023-02-11 20:00:00.000 UTC,1633.3025179776475,1.728064472e+09
2023-03-28 12:00:00.000 UTC,1750.49,2023-03-28 12:00:00.000 UTC,5468.719833631087,1.72024048e+09
2023-06-13 02:00:00.000 UTC,1754.28,2023-06-13 02:00:00.000 UTC,3573.4129302878177,1.340870922e+09
2023-01-07 19:00:00.000 UTC,1266.31,2023-01-07 19:00:00.000 UTC,1462.0366069466525,1.539426984e+09
2023-02-17 06:00:00.000 UTC,1656.69,2023-02-17 06:00:00.000 UTC,2595.1376270449905,1.462522176e+09
2023-05-08 19:00:00.000 UTC,1842.94,2023-05-08 19:00:00.000 UTC,6091.354382434378,1.965703193e+09
2023-04-29 09:00:00.000 UTC,1902.75,2023-04-29 09:00:00.000 UTC,3024.6123925488814,1.424537073e+09
2023-03-09 13:00:00.000 UTC,1542.36,2023-03-09 13:00:00.000 UTC,3771.6742986117415,1.585884897e+09
2023-07-04 07:00:00.000 UTC,1955.86,2023-07-04 07:00:00.000 UTC,3476.8808326251756,1.581605358e+09
2023-08-18 07:00:00.000 UTC,1695.04,2023-08-18 07:00:00.000 UTC,7497.031328779787,1.52269359e+09
2023-07-17 18:00:00.000 UTC,1899.23,2023-07-17 18:00:00.000 UTC,6667.759225388922,1.533383861e+09
2023-03-20 23:00:00.000 UTC,1757.73,2023-03-20 23:00:00.000 UTC,3708.7471016285376,1.480101678e+09
2023-08-14 02:00:00.000 UTC,1847.99,2023-08-14 02:00:00.000 UTC,2402.9229184578144,2.019873548e+09
